"Ranking","Team","Rating"
1,"Alabama",10.7120410471758
2,"Michigan",9.32518651419546
3,"Washington",6.22685350733241
4,"Louisville",6.00018863098216
5,"Auburn",5.41251399431102
6,"Ohio_St",5.32376007270788
7,"Clemson",4.94209730782975
8,"Texas_A&M",4.5507070533991
9,"Wisconsin",4.49775926957823
10,"LSU",4.027826831906
11,"Colorado",3.78557891078204
12,"Mississippi",3.37294517150681
13,"W_Michigan",3.03428729392843
14,"Nebraska",2.92358161943844
15,"Virginia_Tech",2.74549571655244
16,"Northwestern",2.69604053188712
17,"Washington_St",2.67082505152986
18,"Utah",2.63681260604726
19,"Florida_St",2.55751206309685
20,"Florida",2.33015409514775
21,"USC",2.32442699880476
22,"Penn_St",2.28817886680682
23,"Iowa",2.20510795539557
24,"Oklahoma_St",2.174307551065
25,"BYU",2.12830041589634
26,"Baylor",2.11942510167796
27,"Stanford",2.09360231574121
28,"UCLA",2.07932547149303
29,"Boise_St",2.04021809687537
30,"Oklahoma",2.03862728943618
31,"West_Virginia",2.01475815568391
32,"Tennessee",2.0113902779461
33,"Pittsburgh",2.00273773193278
34,"Miami_FL",1.98526095437565
35,"Arkansas",1.95771099871217
36,"South_Florida",1.95614504563127
37,"WKU",1.9374367089504
38,"Houston",1.9267233644472
39,"Troy",1.91562305265948
40,"North_Carolina",1.90520289336756
41,"Michigan_St",1.89050947145852
42,"Minnesota",1.88421483698795
43,"Temple",1.86034685854949
44,"Mississippi_St",1.7995916043029
45,"Georgia_Tech",1.72017501668336
46,"Indiana",1.70206322191276
47,"Duke",1.69281627797834
48,"Oregon",1.68219003606451
49,"Arizona_St",1.62889582306454
51,"Notre_Dame",1.57939589606804
52,"Texas",1.56788029305421
53,"Louisiana_Tech",1.55712472238292
54,"Toledo",1.49585564334763
55,"Kansas_St",1.48478217061165
56,"Maryland",1.48148158506467
58,"San_Diego_St",1.45547968623205
59,"California",1.45128612344195
60,"NC_State",1.43642505012929
61,"TCU",1.42891054243963
62,"Wake_Forest",1.38623598726515
63,"Virginia",1.36619219868225
64,"South_Carolina",1.34875878899504
65,"Georgia",1.32534046359583
66,"Arizona",1.30058432429918
67,"Kentucky",1.29486754983502
68,"Army",1.28578521863539
69,"UCF",1.27696249926219
70,"Vanderbilt",1.27240826910391
71,"Texas_Tech",1.2452664817933
72,"Oregon_St",1.24305063780429
73,"Tulsa",1.16985199279442
74,"Appalachian_St",1.1247936403931
75,"Navy",1.1172312153795
76,"Memphis",1.10625371448226
78,"Wyoming",1.07841487302941
79,"Air_Force",1.07418754558234
80,"MTSU",1.07318941225757
81,"South_Alabama",1.0425949152361
82,"Syracuse",1.04055846290763
84,"Georgia_St",1.02162742670835
88,"C_Michigan",0.921639396802138
89,"SMU",0.917855942429069
90,"Ohio",0.917553519144564
91,"Missouri",0.917371018730953
92,"Colorado_St",0.897283483714041
93,"East_Carolina",0.882445476503607
94,"Southern_Miss",0.870119133705226
95,"Illinois",0.868940576876298
96,"Iowa_St",0.868912337493576
99,"N_Illinois",0.798234814501314
100,"Connecticut",0.763965200395101
101,"Ga_Southern",0.758692357268591
102,"E_Michigan",0.758481868741015
104,"Tulane",0.738057522155941
105,"Ball_St",0.736272541217539
106,"Boston_College",0.734020330182755
109,"Utah_St",0.715012549246156
110,"UT_San_Antonio",0.707440569000198
111,"Cincinnati",0.701857341622186
112,"New_Mexico",0.700943600715268
113,"Miami_OH",0.679950218153652
115,"Massachusetts",0.671632212907268
118,"North_Texas",0.640424527575783
121,"Hawaii",0.60217623664107
122,"Purdue",0.595367123284515
124,"Rutgers",0.587075368955757
126,"Arkansas_St",0.571349380488353
129,"Kent",0.551818063078598
130,"UNLV",0.547854537969326
131,"Old_Dominion",0.546107640698293
132,"Akron",0.544702584508892
137,"Marshall",0.501784816752398
140,"Fresno_St",0.451284884839194
141,"Nevada",0.44798432674411
144,"Florida_Intl",0.423936005338298
146,"ULL",0.40626195242262
149,"San_Jose_St",0.396977962538042
155,"Bowling_Green",0.362918000400159
157,"Rice",0.348436241170524
158,"Buffalo",0.345600443602584
164,"Idaho",0.313510341568538
173,"Kansas",0.282881187130107
175,"UTEP",0.275192114316984
177,"FL_Atlantic",0.264534186444687
182,"New_Mexico_St",0.247920945173462
183,"Charlotte",0.244738197084335
197,"Texas_St",0.181399012755227
212,"ULM",0.11836796635373
