"Ranking","Team","Rating"
1,"Mississippi_St",1.06748523440627
2,"Clemson",1.05627129980269
3,"Oklahoma_St",1.04490209967973
4,"Georgia",1.03892460843124
5,"Washington",1.02661050563298
6,"Oklahoma",1.02597171319102
7,"TCU",1.01259750240096
8,"Oregon",1.00784362742358
9,"Michigan",1.00526603859626
10,"Wake_Forest",0.99191252503351
11,"Virginia_Tech",0.981552862263685
12,"South_Florida",0.98020007716128
13,"Penn_St",0.978067613110611
14,"Wisconsin",0.977128713911443
15,"Alabama",0.947032797589427
16,"Duke",0.945810143389406
17,"Colorado",0.943334599124304
18,"California",0.937769970087199
19,"Maryland",0.932093409709999
20,"Vanderbilt",0.930124460140965
21,"Minnesota",0.920931143843383
22,"San_Diego_St",0.915816760483734
23,"Washington_St",0.914690126666674
24,"Iowa",0.91448735925372
25,"USC",0.913255011833778
26,"S_Dakota_St",0.910770745145993
27,"Kentucky",0.908141613600524
28,"James_Madison",0.880322704027251
29,"Texas_Tech",0.869580246390064
30,"South_Dakota",0.86308910624262
31,"Notre_Dame",0.861558795295008
32,"Illinois_St",0.860257051014433
33,"Ohio_St",0.856998611525131
34,"Toledo",0.856280510863661
35,"Houston",0.851271759727108
36,"Utah",0.847006187087097
37,"N_Dakota_St",0.838524397988883
38,"Navy",0.834534289266023
39,"Memphis",0.81294358420522
40,"Kansas_St",0.800758242922732
41,"Sam_Houston_St",0.799600925230011
42,"UCF",0.795974193723259
43,"UCLA",0.795609096109129
44,"Citadel",0.789031428154197
45,"Purdue",0.779855279378559
46,"UT_San_Antonio",0.774488042985964
47,"Michigan_St",0.771929383844813
48,"Stony_Brook",0.769529701995137
49,"Louisville",0.765597521367682
50,"Auburn",0.741421254001493
51,"E_Michigan",0.737244789076405
52,"South_Carolina",0.736624482962383
53,"Boise_St",0.736454808421946
54,"S_Illinois",0.734054371767215
55,"Mississippi",0.730084931695999
56,"SMU",0.728987842036999
57,"Iowa_St",0.723302686394361
58,"W_Illinois",0.719760770382862
59,"NC_State",0.714585932251283
60,"West_Virginia",0.712924402389598
61,"Southern_Miss",0.71150396945585
62,"Texas_A&M",0.711003130103885
63,"Virginia",0.708380686913779
64,"Holy_Cross",0.705998788130211
65,"Liberty",0.704649958070747
66,"Tennessee_St",0.703800253668736
67,"Arizona",0.700029287059276
68,"NC_A&T",0.693267002037498
69,"Illinois",0.691729416649395
70,"Wofford",0.671964571351741
71,"Miami_FL",0.670955733566244
72,"Ohio",0.66739340057492
73,"Appalachian_St",0.664155870056525
74,"LSU",0.660747640519734
75,"Ball_St",0.656868334847417
76,"Youngstown_St",0.651555751650434
77,"Yale",0.651342095720692
78,"Syracuse",0.645938714146181
79,"Richmond",0.645832108753107
80,"Cincinnati",0.64535193089294
81,"Tennessee",0.641153442252631
82,"Arkansas",0.64069648320388
83,"Nicholls_St",0.635143547085882
84,"Northwestern",0.632739858991862
85,"Army",0.63161430042903
86,"Florida",0.631484427350922
87,"Louisiana_Tech",0.629567591840962
88,"Marshall",0.627164736591224
89,"N_Illinois",0.624782923008113
90,"Colorado_St",0.616962518414235
91,"Dartmouth",0.616716333578605
92,"William_&_Mary",0.613142578364349
93,"Montana",0.612705565973867
94,"Indiana",0.608283371907449
95,"Troy",0.605772285796317
96,"Delaware",0.605606579402999
97,"Princeton",0.602045414362501
98,"UC_Davis",0.598926220210712
99,"Air_Force",0.598225485781255
100,"Southern_Utah",0.594277770304531
101,"Texas",0.587177370527905
102,"Albany_NY",0.579820723085313
103,"Georgia_Tech",0.57961714792363
104,"North_Carolina",0.579288677611985
105,"Columbia",0.572492736737541
106,"Hawaii",0.571721272687963
107,"C_Michigan",0.56963949196259
108,"Samford",0.569192669450188
109,"Brown",0.566077611864637
110,"Stanford",0.565180011166075
111,"Connecticut",0.564550587094656
112,"UAB",0.560958835970677
113,"New_Hampshire",0.5536526769409
114,"Temple",0.549646736207157
115,"Maine",0.544682141113972
116,"Old_Dominion",0.541892192989903
117,"Villanova",0.539559160920544
118,"W_Carolina",0.537012702654428
119,"Tulane",0.536353778224994
120,"Cent_Arkansas",0.530583285563694
121,"Weber_St",0.529222004442168
122,"Towson",0.521552097086054
123,"Duquesne",0.519625477064715
124,"Pittsburgh",0.517698663789771
125,"Rutgers",0.514310296846537
126,"Kennesaw",0.512481382138486
127,"Nebraska",0.511132491802365
128,"Arizona_St",0.507753538233643
129,"Monmouth_NJ",0.504319138947052
130,"Sacred_Heart",0.502513327474611
131,"FL_Atlantic",0.50204178143827
132,"Penn",0.5
133,"Robert_Morris",0.49790313193162
134,"St_Francis_PA",0.496343397209167
135,"Grambling",0.494686675360242
136,"Tulsa",0.492884899434337
137,"MTSU",0.489850121205839
138,"Elon",0.489771668688049
139,"Buffalo",0.487291262053622
140,"Mercer",0.478465745795568
141,"Boston_College",0.475585838088392
142,"Arkansas_St",0.471697181068371
143,"UNLV",0.470600617071196
144,"McNeese_St",0.466741709083058
145,"Utah_St",0.457356905300131
146,"Miami_OH",0.451451616263223
147,"Bucknell",0.449721011626999
148,"W_Michigan",0.440735224711279
149,"North_Texas",0.440017631377156
150,"Coastal_Car",0.429145776999591
151,"South_Alabama",0.421928269712322
152,"Marist",0.421664381597647
153,"Wyoming",0.418423251822677
154,"TN_Martin",0.417400946849442
155,"Fresno_St",0.416241672880603
156,"WKU",0.415256294184805
157,"Florida_St",0.414639810832408
158,"North_Dakota",0.412760459576792
159,"N_Colorado",0.401019118557884
160,"Georgetown",0.398079209293052
161,"New_Mexico",0.396003452739165
162,"Rhode_Island",0.390671319638587
163,"Florida_Intl",0.387922581169777
164,"E_Washington",0.386467330541328
165,"New_Mexico_St",0.385162682774312
166,"Texas_St",0.380462712565074
167,"Missouri",0.377175904556865
168,"Akron",0.367328215957239
169,"Jacksonville_St",0.365262665413285
170,"Kent",0.360252189894909
171,"Montana_St",0.352838999360184
172,"Hampton",0.344702222951763
173,"Kansas",0.342680405061668
174,"Austin_Peay",0.342203102945968
175,"Baylor",0.327415803844905
176,"Northern_Iowa",0.327105684017312
177,"ULM",0.323528909800806
178,"NC_Central",0.315270047796469
179,"BYU",0.313292708453602
180,"Presbyterian",0.309822962422856
181,"Idaho_St",0.309764779989069
182,"Dayton",0.303870189656738
183,"Florida_A&M",0.302111876921123
184,"Idaho",0.29705146465719
185,"E_Illinois",0.288832251835895
186,"Butler",0.286752350338144
187,"Howard",0.285648242801914
188,"Southern_Univ",0.276597442040662
189,"Colgate",0.276367554018642
190,"Georgia_St",0.274441937498516
191,"ETSU",0.274350460662506
192,"Harvard",0.268857067617768
193,"Abilene_Chr",0.264892794616615
194,"Cornell",0.260373670142607
195,"Charleston_So",0.258341015346205
196,"E_Kentucky",0.255483328950529
197,"Rice",0.251247717432497
198,"CS_Sacramento",0.251196305827149
199,"Northwestern_LA",0.24858867616888
200,"San_Jose_St",0.245839017397423
201,"S_Carolina_St",0.234881717503079
202,"Oregon_St",0.232587753574721
203,"ULL",0.231539508091829
204,"Prairie_View",0.228280623875311
205,"Norfolk_St",0.206338172257732
206,"Valparaiso",0.201301738225828
207,"Jackson_St",0.201102496806718
208,"Nevada",0.197072386916319
209,"Charlotte",0.195899079291239
210,"Drake",0.193464962847153
211,"Ga_Southern",0.191397737610838
212,"Northern_Arizona",0.190441006157116
213,"San_Diego",0.186492071861465
214,"Furman",0.184526369718243
215,"Wagner",0.181821795136984
216,"East_Carolina",0.180647643765368
217,"Alabama_St",0.18045395235705
218,"Houston_Bap",0.180446144277549
219,"Davidson",0.179004234218143
220,"Bethune-Cookman",0.177508024797415
221,"Bowling_Green",0.172977178984172
222,"Alcorn_St",0.171616014170568
223,"SF_Austin",0.166201092854604
224,"Jacksonville",0.159488581931856
225,"Tennessee_Tech",0.145353487555156
226,"MS_Valley_St",0.143144692439024
227,"Bryant",0.137508972461566
228,"Indiana_St",0.136031221232435
229,"Missouri_St",0.135054655757478
230,"Fordham",0.130563957961851
231,"Campbell",0.122593007752636
232,"Massachusetts",0.120080217586932
233,"Lehigh",0.118667111260761
234,"VMI",0.0800699655053867
235,"SE_Missouri_St",0.0743097757858402
236,"Savannah_St",0.069215359007598
237,"Murray_St",0.0615446621586434
238,"Delaware_St",0.055237116301175
239,"UTEP",0.0548270705181177
240,"Chattanooga",0.0378064893440199
241,"Morgan_St",0.0357866655755645
242,"Portland_St",0.0330377836222794
243,"TX_Southern",0.0330144193526165
244,"Lafayette",0.0294819571348016
245,"Gardner_Webb",0.0285076563705153
246,"Lamar",0.0261265476901886
247,"Morehead_St",0.0117132652541787
248,"Alabama_A&M",0.00951359278805435
249,"SE_Louisiana",-0.0108220782484667
250,"Cal_Poly",-0.011732719477979
251,"Stetson",-0.0152946011478789
252,"Central_Conn",-0.031208338605363
253,"Ark_Pine_Bluff",-0.0402436507435973
254,"Incarnate_Word",-0.129630405448415
