Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
1,East Tex. Baptist (American Southwest),10,7-3,71,31,18,0,2,0,499,49.9
2,St. Thomas (MN) (Minn. Intercol.),13,12-1,87,65,8,0,3,0,612,47.1
3,Mary Hardin-Baylor (American Southwest),15,15-0,96,94,0,0,10,1,702,46.8
4,Whitworth (Northwest),10,8-2,62,49,7,0,8,0,459,45.9
5,Monmouth (IL) (Midwest Conference),11,10-1,67,60,4,0,11,0,503,45.7
6,Mount Union (Ohio AC),14,12-2,86,82,1,0,12,2,640,45.7
7,Hendrix (SAA),10,7-3,64,58,1,0,4,0,456,45.6
8,Huntingdon (USA South),11,9-2,69,63,0,0,7,0,498,45.3
9,Hardin-Simmons (American Southwest),11,9-2,66,53,1,0,8,1,477,43.4
10,Centre (SAA),10,8-2,57,50,2,0,10,0,426,42.6
11,"Thomas More (Presidents AC)	11	9-2	62	58	0	0	8	2	458	41.6
12	Johns Hopkins (Centennial)	12	11-1	65	63	0	0	14	1	497	41.4
13	Salve Regina (CCC Football)	10	8-2	57	50	0	0	4	4	412	41.2
14	Wis.-Platteville (WIAC)	11	8-3	63	58	0	0	5	0	451	41.0
15	DePauw (North Coast)	10	8-2	52	45	1	0	15	0	404	40.4
16	Saint Johns (MN) (Minn. Intercol.)",12,10-2,68,62,0,0,4,0,482,40.2
17,Muhlenberg (Centennial),11,9-2,60,53,2,0,8,0,441,40.1
18,Western New Eng. (CCC Football),12,11-1,66,53,0,0,9,1,478,39.8
19,Dubuque (IIAC),10,8-2,55,46,4,0,4,1,398,39.8
20,Central (IA) (IIAC),10,8-2,54,45,2,0,8,0,397,39.7
21,St. Norbert (Midwest Conference),10,7-3,56,52,0,0,2,1,396,39.6
22,Salisbury (NJAC),11,8-3,59,51,1,0,9,0,434,39.5
23,Maryville (TN) (USA South),10,8-2,51,45,1,0,13,1,394,39.4
23,Franklin (HCAC),10,8-2,56,47,1,0,3,0,394,39.4
25,North Central (IL) (CCIW),12,11-1,64,59,2,0,8,0,471,39.3
26,"CWRU (Presidents AC)	10	9-1	54	47	2	0	5	1	392	39.2
27	Lake Forest (Midwest Conference)	10	8-2	56	45	1	0	1	0	386	38.6
28	Husson (Eastern Collegiate Football Conference)	10	8-2	55	45	2	0	1	1	384	38.4
29	Trinity (CT) (NESCAC)	8	8-0	38	38	0	0	13	0	305	38.1
30	Wesley (NJAC)	12	9-3	60	57	0	0	13	0	456	38.0
31	Redlands (SCIAC)	10	8-2	48	41	3	0	14	1	379	37.9
32	Occidental (SCIAC)	9	1-8	47	34	7	1	3	0	341	37.9
33	Coe (IIAC)	12	11-1	60	55	0	0	12	0	451	37.6
34	Wash. & Jeff. (Presidents AC)",11,9-2,56,50,1,0,7,2,413,37.5
35,Louisiana Col. (American Southwest),10,4-6,53,51,0,0,2,0,375,37.5
36,Linfield (Northwest),11,9-2,55,48,0,0,11,0,411,37.4
37,Alfred (Empire 8),13,12-1,65,57,0,0,11,2,484,37.2
38,Brockport (Empire 8),11,7-4,56,53,1,0,6,0,409,37.2
39,Benedictine (IL) (Northern Athletics),10,6-4,52,33,7,1,1,2,368,36.8
40,Washington-St. Louis (SAA),11,8-3,54,48,2,0,9,0,403,36.6
41,Heidelberg (Ohio AC),10,6-4,49,45,0,0,7,2,364,36.4
42,Wis.-Oshkosh (WIAC),15,13-2,71,66,0,0,17,0,543,36.2
43,Wis.-La Crosse (WIAC),10,5-5,48,42,3,0,8,0,360,36
44,Bluffton (HCAC),10,7-3,51,42,0,0,3,0,357,35.7
44,Wartburg (IIAC),10,6-4,48,42,2,0,7,1,357,35.7
46,Hartwick (Empire 8),10,2-8,50,36,1,0,6,0,356,35.6
47,Delaware Valley (Middle Atlantic),11,9-2,54,51,1,0,4,0,389,35.4
48,Wabash (North Coast),10,8-2,45,45,0,0,11,2,352,35.2
48,Shenandoah (ODAC),10,6-4,49,40,0,1,4,2,352,35.2
50,Wheaton (IL) (CCIW),13,11-2,60,52,0,0,12,3,454,34.9
51,Stevenson (Middle Atlantic),11,9-2,51,44,2,0,10,0,384,34.9
52,Wis.-Whitewater (WIAC),13,12-1,57,55,1,0,18,0,453,34.8
53,St. Scholastica (UMAC),10,7-3,49,44,1,0,2,1,348,34.8
54,"Carnegie Mellon (Presidents AC)	11	7-4	49	47	1	0	11	3	382	34.7
55	Trine (Michigan Intercol.)	10	6-4	48	39	2	0	5	0	346	34.6
56	Ohio Northern (Ohio AC)	10	5-5	44	42	0	0	13	0	345	34.5
57	Bethel (MN) (Minn. Intercol.)	10	5-5	50	30	4	0	2	0	344	34.4
58	St. John Fisher (Empire 8)	11	8-3	52	45	1	0	5	1	376	34.2
59	Guilford (ODAC)	10	4-6	46	41	0	1	7	0	340	34.0
59	Middlebury (NESCAC)	8	6-2	38	35	0	0	3	0	272	34.0
61	Wash. & Lee (ODAC)	10	6-4	46	39	3	0	6	0	339	33.9
61	Thiel (Presidents AC)",10,4-6,48,33,0,0,6,0,339,33.9
63,Alma (Michigan Intercol.),10,7-3,46,41,0,0,7,0,338,33.8
64,LaGrange (USA South),10,3-7,47,36,0,0,6,0,336,33.6
65,Rhodes (SAA),10,6-4,44,40,1,1,9,0,335,33.5
66,MacMurray (UMAC),10,8-2,46,35,4,0,5,0,334,33.4
67,Wittenberg (North Coast),12,10-2,47,45,0,0,23,2,400,33.3
68,Carthage (CCIW),10,7-3,45,38,2,0,4,4,332,33.2
69,Albright (Middle Atlantic),11,8-3,47,40,4,0,11,1,365,33.2
70,Emory & Henry (ODAC),10,6-4,45,40,1,0,6,0,330,33
70,Curry (CCC Football),9,3-6,43,36,0,0,1,0,297,33
72,John Carroll (Ohio AC),14,12-2,65,54,0,0,4,2,460,32.9
73,Susquehanna (Centennial),10,6-4,42,39,1,0,11,0,326,32.6
74,Denison (North Coast),10,8-2,41,40,0,1,12,0,324,32.4
75,Rose-Hulman (HCAC),11,8-3,48,38,3,0,6,2,354,32.2
76,Sul Ross St. (American Southwest),10,6-4,43,33,4,0,6,0,317,31.7
77,"Westminster (PA) (Presidents AC)	11	8-3	44	33	2	0	15	1	348	31.6
78	Wesleyan (CT) (NESCAC)	8	6-2	34	30	0	0	6	0	252	31.5
78	Saint Vincent (Presidents AC)",10,5-5,44,33,1,2,4,0,315,31.5
78,Tufts (NESCAC),8,7-1,33,28,1,0,8,0,252,31.5
81,Lakeland (Northern Athletics),11,7-4,50,26,9,1,0,0,346,31.5
81,Hobart and William Smith Colleges (Liberty League),11,9-2,49,39,0,1,3,1,346,31.5
83,Cornell College (Midwest Conference),10,5-5,44,35,0,0,5,0,314,31.4
83,WPI (Liberty League),10,6-4,41,34,1,0,10,1,314,31.4
85,N.C. Wesleyan (USA South),9,5-4,36,35,0,0,10,0,281,31.2
86,Mt. St. Joseph (HCAC),10,6-4,42,36,1,0,7,0,311,31.1
87,Moravian (Centennial),10,5-5,42,32,2,0,7,0,309,30.9
88,St. Lawrence (Liberty League),10,9-1,40,38,1,0,8,2,308,30.8
89,Olivet (Michigan Intercol.),11,9-2,46,33,3,0,7,1,338,30.7
90,Chicago (SAA),10,4-6,42,39,0,0,5,0,306,30.6
91,Gettysburg (Centennial),10,3-7,41,32,2,0,7,1,305,30.5
92,Berry (SAA),10,9-1,38,36,1,1,12,0,304,30.4
93,SUNY Cortland (Empire 8),11,5-6,45,39,2,0,7,0,334,30.4
94,Cal Lutheran (SCIAC),9,4-5,38,18,9,0,3,0,273,30.3
95,Randolph-Macon (ODAC),11,9-2,43,39,1,0,10,2,333,30.3
96,Averett (USA South),10,5-5,39,36,1,0,10,0,302,30.2
97,UMass Dartmouth (MASCAC),10,5-5,44,17,10,0,0,0,301,30.1
98,Illinois Col. (Midwest Conference),10,6-4,39,35,1,0,9,1,300,30
99,Otterbein (Ohio AC),10,5-5,39,34,1,0,9,1,299,29.9
100,Ferrum (USA South),10,6-4,39,24,6,0,8,1,296,29.6
101,Framingham St. (MASCAC),11,8-3,46,34,2,0,2,1,322,29.3
102,"Concordia-Mhead (Minn. Intercol.)	10	7-3	42	31	0	0	2	1	291	29.1
102	Kings (PA) (Middle Atlantic)",10,5-5,41,39,0,0,2,0,291,29.1
102,Greenville (UMAC),10,2-8,42,33,2,1,0,0,291,29.1
105,Beloit (Midwest Conference),10,3-7,37,32,0,0,11,1,289,28.9
105,Southwestern (TX) (SCAC),10,7-3,39,34,0,0,7,0,289,28.9
107,Bridgewater (VA) (ODAC),10,5-5,37,34,1,0,10,0,288,28.8
108,Texas Lutheran (SCAC),10,2-8,38,35,1,0,7,0,286,28.6
109,Baldwin Wallace (Ohio AC),10,3-7,39,32,2,0,5,0,285,28.5
109,Juniata (Centennial),10,4-6,37,34,1,0,9,0,285,28.5
109,Pacific (OR) (Northwest),10,4-6,37,31,1,0,10,0,285,28.5
112,Wis.-Stevens Point (WIAC),10,6-4,37,31,1,0,9,1,284,28.4
113,Ill. Wesleyan (CCIW),9,7-2,34,31,0,0,6,0,253,28.1
114,Concordia Chicago (Northern Athletics),10,4-6,41,27,2,0,1,0,280,28
115,Claremont-M-S (SCIAC),9,7-2,31,29,1,0,10,0,247,27.4
115,Puget Sound (Northwest),9,3-6,33,20,3,0,7,1,247,27.4
115,Pomona-Pitzer (SCIAC),9,6-3,35,32,1,0,1,0,247,27.4
118,Bridgewater St. (MASCAC),11,8-3,42,29,3,0,4,1,301,27.4
119,La Verne (SCIAC),9,2-7,34,27,2,0,3,1,246,27.3
120,Marietta (Ohio AC),10,3-7,38,32,2,1,1,1,271,27.1
121,Utica (Empire 8),11,7-4,40,30,0,0,8,1,296,26.9
122,Wooster (North Coast),10,4-6,37,34,0,0,4,0,268,26.8
123,Wis. Lutheran (Northern Athletics),10,5-5,37,24,0,0,7,0,267,26.7
124,Western Conn. St. (MASCAC),10,5-5,37,31,1,0,3,1,266,26.6
125,Coast Guard (CCC Football),10,3-7,37,33,2,0,2,0,265,26.5
125,Neb. Wesleyan (IIAC),10,4-6,32,28,2,1,13,0,265,26.5
125,Concordia Wisconsin (Northern Athletics),10,3-7,37,32,1,0,3,0,265,26.5
128,Wis.-River Falls (WIAC),10,4-6,38,23,5,0,0,1,263,26.3
129,Chris. Newport (NJAC),10,7-3,36,32,0,0,4,1,262,26.2
130,Frank. & Marsh. (Centennial),11,7-4,37,32,1,0,10,0,286,26
131,Elmhurst (CCIW),10,5-5,35,31,0,0,6,0,259,25.9
132,Maine Maritime (CCC Football),9,1-8,34,11,9,0,0,0,233,25.9
