Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
1,Western Ky. (Conference USA),14,11-3,82,78,0,1,21,1,637,45.5
2,Louisiana Tech (Conference USA),14,9-5,79,78,0,0,22,1,620,44.3
3,Oklahoma (Big 12),13,11-2,77,72,2,0,11,0,571,43.9
4,South Fla. (AAC),13,11-2,77,75,1,0,10,0,569,43.8
5,Texas Tech (Big 12),12,5-7,70,65,0,0,13,0,524,43.7
6,Louisville (Atlantic Coast),13,9-4,71,68,1,0,19,0,553,42.5
7,Tulsa (AAC),13,10-3,70,67,0,1,21,0,552,42.5
8,Washington (Pac-12),14,12-2,77,75,0,0,16,0,585,41.8
9,Western Mich. (Mid-American),14,13-1,75,71,1,0,19,1,582,41.6
10,Pittsburgh (Atlantic Coast),13,8-5,72,66,1,0,10,1,532,40.9
11,Michigan (Big Ten),13,10-3,66,63,2,2,19,0,524,40.3
12,Middle Tenn. (Conference USA),13,8-5,67,64,1,0,16,0,516,39.7
13,Ohio St. (Big Ten),13,11-2,66,63,0,0,17,1,512,39.4
14,Clemson (Atlantic Coast),15,14-1,78,72,2,0,14,1,588,39.2
15,Memphis (AAC),13,8-5,63,58,3,0,21,0,505,38.8
16,Alabama (Southeastern),15,14-1,74,72,0,0,22,0,582,38.8
17,Oklahoma St. (Big 12),13,10-3,63,60,1,1,20,0,502,38.6
18,Washington St. (Pac-12),13,8-5,67,63,1,0,9,1,496,38.2
19,Toledo (Mid-American),13,9-4,65,61,2,0,13,0,494,38
20,Navy (AAC),14,9-5,73,65,1,0,8,1,531,37.9
21,Penn St. (Big Ten),14,11-3,66,62,1,0,22,0,526,37.6
22,California (Pac-12),12,5-7,54,51,2,0,22,0,445,37.1
23,New Mexico (Mountain West),13,9-4,63,61,1,0,12,0,477,36.7
24,Tennessee (Southeastern),13,9-4,63,62,0,0,11,0,473,36.4
25,Wyoming (Mountain West),14,8-6,66,64,1,0,13,1,503,35.9
26,Houston (AAC),13,9-4,59,56,0,0,16,4,466,35.8
27,Oregon (Pac-12),12,4-8,58,42,4,0,9,0,425,35.4
28,Colorado St. (Mountain West),13,7-6,61,56,2,0,11,0,459,35.3
29,San Diego St. (Mountain West),14,11-3,62,56,1,0,21,0,493,35.2
