Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
121,Robert Morris (Northeast),11,2-9,14,13,0,1,7,1,122,11.1
81,Austin Peay (OVC),11,0-11,35,30,1,1,5,0,259,23.5
38,Southern Utah (Big Sky),11,6-5,44,40,0,1,5,0,321,29.2
22,Prairie View (Southwestern),11,7-4,49,43,0,1,5,3,360,32.7
122,Presbyterian (Big South),11,2-9,11,11,0,0,7,0,98,8.9
120,Elon (Colonial),11,2-9,14,14,0,0,12,0,134,12.2
119,Ark.-Pine Bluff (Southwestern),11,1-10,19,15,3,0,5,0,150,13.6
118,Mississippi Val. (Southwestern),11,1-10,21,19,0,0,3,0,154,14
117,Savannah St. (Mid-Eastern),10,3-7,18,17,0,0,6,0,143,14.3
116,Delaware St. (Mid-Eastern),11,0-11,22,18,0,0,4,0,162,14.7
115,Georgetown (Patriot),11,3-8,19,19,0,0,11,0,166,15.1
113,ETSU (Southern),11,5-6,20,18,0,0,12,0,174,15.8
113,Norfolk St. (Mid-Eastern),11,4-7,20,17,2,0,11,0,174,15.8
111,Stony Brook (Colonial),11,5-6,25,23,0,0,3,1,184,16.7
111,Morgan St. (Mid-Eastern),11,3-8,24,16,2,0,6,1,184,16.7
110,Rhode Island (Colonial),11,2-9,24,23,0,0,6,0,185,16.8
109,Davidson (Pioneer),11,2-9,24,23,0,0,8,0,191,17.4
108,Jackson St. (Southwestern),11,3-8,25,22,1,0,9,1,203,18.5
107,Columbia (Ivy League),10,3-7,21,16,2,0,13,0,185,18.5
106,Florida A&M (Mid-Eastern),11,4-7,25,19,1,0,11,1,206,18.7
105,Houston Baptist (Southland),11,4-7,23,21,0,0,16,0,207,18.8
104,Howard (Mid-Eastern),11,2-9,28,14,4,0,6,0,208,18.9
103,Hampton (Mid-Eastern),11,5-6,28,27,0,0,6,0,213,19.4
102,Lafayette (Patriot),11,2-9,27,24,2,0,8,1,216,19.6
101,Dartmouth (Ivy League),10,4-6,26,24,0,0,7,0,201,20.1
100,Yale (Ivy League),10,3-7,25,21,3,0,8,1,203,20.3
99,VMI (Southern),11,3-8,30,19,2,0,7,0,224,20.4
98,Brown (Ivy League),10,4-6,27,24,0,0,6,0,204,20.4
97,Southeast Mo. St. (OVC),11,3-8,25,23,1,0,18,0,229,20.8
96,Lamar University (Southland),11,3-8,29,26,0,0,10,0,230,20.9
94,South Carolina St. (Mid-Eastern),11,5-6,31,25,0,0,7,0,232,21.1
94,Bucknell (Patriot),11,4-7,32,26,0,0,4,1,232,21.1
93,Stetson (Pioneer),11,4-7,30,27,0,0,8,1,233,21.2
92,Delaware (Colonial),11,4-7,31,30,0,0,8,1,242,22
90,Towson (Colonial),11,4-7,27,25,1,0,18,0,243,22.1
