Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
130,UVa-Wise (MEC),11,6-5,29,21,2,1,13,0,240,21.8
127,West Va. Wesleyan (MEC),11,4-7,32,29,1,1,5,2,244,22.2
104,Angelo St. (Lone Star),11,5-6,38,35,0,1,6,1,285,25.9
103,Lindenwood (MO) (MIAA),11,3-8,41,30,0,1,3,0,287,26.1
86,West Tex. A&M (Lone Star),11,6-5,41,36,0,1,7,0,305,27.7
85,Chadron St. (RMAC),11,3-8,42,33,2,1,5,0,306,27.8
82,Fairmont St. (MEC),12,10-2,45,42,0,1,9,1,343,28.6
77,Western St. (RMAC),11,7-4,43,40,0,1,6,1,320,29.1
37,Slippery Rock (PSAC),11,7-4,51,39,1,1,11,4,390,35.5
35,Northern St. (Northern Sun),11,6-5,52,45,1,1,10,0,391,35.5
32,West Chester (PSAC),11,8-3,53,48,0,1,9,0,395,35.9
7,Ashland (GLIAC),11,9-2,65,61,1,1,8,0,479,43.5
3,Indiana (PA) (PSAC),12,10-2,77,73,0,1,6,0,555,46.3
170,Shorter (Gulf South),11,0-11,11,9,1,0,0,1,79,7.2
168,Cheyney (PSAC),11,1-10,14,5,1,0,1,0,94,8.5
167,Mary (Northern Sun),11,1-10,15,11,0,0,5,0,116,10.5
166,Walsh (GLIAC),11,1-10,14,14,0,0,7,0,119,10.8
165,N.M. Highlands (RMAC),11,0-11,16,11,3,0,4,0,125,11.4
164,Pace (Northeast-10),11,0-11,17,14,1,0,5,0,133,12.1
163,Lincoln (MO) (GLVC),11,1-10,16,11,0,0,9,0,134,12.2
