"Ranking","Team","Rating"
1," M_Hardin-Baylor",17.1627274985889
2," Mt_Union",13.7518674503835
3," WI_Whitewater",7.46118209209312
4," St_Thomas_MN",6.66987396218334
5," WI_Oshkosh",6.36321496550756
6," Hardin-Simmons",6.13043615795592
7," WI_Platteville",5.15784473485846
8," St_John's_MN",4.08913001934431
9," St_Lawrence",3.68646381115955
10," Coe",3.59885193873551
11," Alfred",3.51792031348122
12," Monmouth_IL",3.3047295037106
13," WI_Stevens_Pt",3.09601169448627
14," Trinity_CT",2.92587038012286
15," W_New_England",2.90048821724124
16," WI_LaCrosse",2.82590387778272
17," John_Carroll",2.79969126243101
18," Stevenson",2.73257925105474
19," Concordia_Mhd",2.59025669686729
20," Salisbury_St",2.41994883612908
21," Salve_Regina",2.40340856769007
22," Ohio_Northern",2.2776188014191
23," St_John_Fisher",2.21810725046661
24," Hobart_&_Smith",2.20332683809559
25," Delaware_Val",2.20105901581868
26," Brockport_St",2.16141874922059
27," Utica",2.13406828260298
28," Wesley_DE",2.04359239349187
29," Thomas_More",2.00724277164933
30," Huntingdon",1.94997389446032
31," Dubuque",1.91257084441269
32," N_Central_IL",1.9059860002352
33," Albright",1.90106463924748
34," Husson",1.86272201786611
35," Johns_Hopkins",1.82047267830938
36," Central_IA",1.81148300273498
37," Rensselaer",1.79121460818237
38," Wesleyan_CT",1.77665950090017
39," Case_Western",1.70598671386386
40," Wartburg",1.69978466415087
41," E_Texas_Bap",1.68401191604913
42," Cortland_St",1.67891851167638
43," Worcester_Tech",1.66859652834172
44," Wheaton_IL",1.6293163813627
45," Louisiana_Col",1.61565999819137
46," Ithaca",1.60605352480214
47," Tufts",1.56366673124489
48," Bethel_MN",1.54463675964433
49," Merchant_Marine",1.46758208108899
50," Maryville_TN",1.4627194400304
51," Buffalo_St",1.44825941332179
52," SW_Univ_TX",1.41905113587005
53," Springfield",1.41249161725209
54," Centre",1.35898070592907
55," Union_NY",1.30423036182204
56," Randolph_Macon",1.29765080443077
57," Heidelberg",1.29377415815667
58," WI_River_Falls",1.27107742119989
59," TX_Lutheran",1.2100273953474
60," NC_Wesleyan",1.20871862913964
61," Carthage",1.16891521323534
62," Hendrix",1.16245722503748
63," Rowan",1.14711949509868
64," Chris_Newport",1.14606884311887
65," Linfield",1.13243748451263
66," Washington_MO",1.13234179017072
67," Muhlenberg",1.1269712225744
68," Carnegie_Mellon",1.11284712819329
69," Berry",1.06822276778082
70," Westminster_PA",1.05487046331735
71," Franklin_IN",0.984983437902927
72," IL_Wesleyan",0.974488834413406
73," Amherst",0.949250454047834
74," Wash_&_Jeff",0.949234510755066
75," Shenandoah",0.938699439233389
76," Frostburg_St",0.92682873904414
77," Wash_&_Lee",0.911409983066025
78," Wittenberg",0.899161423252861
79," Middlebury",0.893605223203897
80," WI_Eau_Claire",0.884314186547917
81," Endicott",0.866247126430816
82," Whitworth",0.831625640173534
83," Otterbein",0.819235469134757
84," Framingham_St",0.772407730820929
85," Widener",0.74138691174825
86," MIT",0.735113413916827
87," NY_Maritime",0.733769930193988
88," Elmhurst",0.733305172365509
89," St_Norbert",0.720261495611043
90," Sul_Ross",0.693558821540852
91," Hartwick",0.685520616107107
92," Morrisville_St",0.680785124557621
93," Rose-Hulman",0.67935306200898
94," Montclair_St",0.673648880517369
95," Guilford",0.671605254136427
96," MA_Dartmouth",0.669628181886994
97," WI_Stout",0.668943062796058
98," W_Connecticut",0.660022618884944
99," Emory_&_Henry",0.647382840015318
100," Bridgewater_MA",0.630696654460108
101," Averett",0.617784419066327
102," Simpson_IA",0.60960387392629
103," Rhodes",0.598747122082616
104," Ferrum",0.584850119378316
105," Bates",0.580755085416373
106," Redlands",0.566033416627301
107," DePauw",0.563653623888326
108," Baldwin-Wallace",0.553943752864576
109," Chicago",0.548192698145872
110," Trinity_TX",0.546864583878939
111," NE_Wesleyan",0.546352419587312
112," Kean",0.539540210087867
113," Geneva",0.535856399802081
114," Loras",0.535610129975916
115," Denison",0.534349237755273
116," Augustana_IL",0.533554892113512
117," Gust_Adolphus",0.531109670728952
118," Wabash",0.528930922767019
119," Frank_&_Marsh",0.528213888869954
120," King's_PA",0.522044429093941
121," Millsaps",0.521334576575476
122," Bluffton",0.51985121187563
123," Buena_Vista",0.515568071355817
124," Moravian",0.493830810287733
125," Benedictine_IL",0.493442759912519
126," Coast_Guard",0.47021814815169
127," MA_Maritime",0.453746222035061
128," Pac_Lutheran",0.452496996580259
129," Bridgewater_VA",0.448481278593579
130," Olivet_MI",0.447189533305004
131," Pacific_OR",0.438352281620854
132," Mt_St_Joseph",0.43713770592776
133," Trine",0.43669206922143
134," Susquehanna",0.435119164824379
135," Norwich",0.435060548097892
136," Lycoming",0.434385457244446
137," St_Vincent",0.433482822049599
138," Muskingum",0.43270557232967
139," Fitchburg_St",0.429840294708465
140," Plymouth_St",0.423358240135426
141," ME_Maritime",0.419583436240821
142," George_Fox",0.408414542030132
143," Cal_Lutheran",0.406689621047122
144," Marietta",0.40388739565875
145," Millikin",0.396588469477083
146," Lebanon_Val",0.394002078873462
147," Pomona_Pitzer",0.393668173551349
148," Williams",0.388469570890292
149," Birmingham_So",0.387492362204668
150," Curry",0.384363420352414
151," Catholic",0.381196659784282
152," Bethany_WV",0.374475966518072
153," Luther_IA",0.368320147895697
154," Hope",0.365407474582606
155," Belhaven_MS",0.362405846272281
156," Hamline",0.361992448593392
157," Claremont_M.S.",0.361636695073077
158," Castleton",0.355993762459402
159," McMurry",0.351248690597679
160," Adrian",0.351072649499851
161," Hampden-Sydney",0.350717524479686
162," Waynesburg",0.344328675557721
163," Becker",0.343249137994469
164," Thiel",0.334572245671298
165," LaGrange",0.330822068299491
166," Bowdoin",0.322815829250704
167," Nichols",0.311813933091473
168," Colby",0.300033370077723
169," Hamilton",0.298873854845299
170," Alma",0.284797796691927
171," Westfield_St",0.283119314323589
172," Chapman",0.279110724321895
173," Wilkes",0.261553642436133
174," Gettysburg",0.253264804440621
175," Mt_Ida",0.252314599077084
176," S_Virginia",0.24384528472386
177," Worcester_St",0.238418794698785
178," Ohio_Wesleyan",0.236419779646105
179," Capital",0.235307004581447
180," Wm_Paterson",0.234939145096368
181," Rochester_NY",0.230804154209216
182," Austin_Col",0.225557169491243
183," Lake_Forest",0.220898511046906
184," Willamette",0.217125005809888
185," College_of_NJ",0.214077510087426
186," North_Park",0.213637368036072
