"Ranking","Team","Rating"
1,"Alabama",7.54842321377807
2,"Michigan",4.59130346723315
3,"Ohio_St",4.35823042628638
4,"Washington",4.28476970070413
5,"Wisconsin",3.07191458631504
6,"Penn_St",2.74707894503699
7,"Clemson",2.59556623916113
8,"LSU",2.53452579032789
9,"Auburn",2.45074139158529
10,"Louisville",2.31421737772198
11,"USC",2.11359517543723
12,"Colorado",2.0200948265775
13,"Iowa",1.8689118302509
14,"Texas_A&M",1.82292851412989
15,"Oklahoma",1.78383523540394
16,"Washington_St",1.670448487745
17,"W_Michigan",1.66090772494485
18,"Virginia_Tech",1.64748404596811
19,"Northwestern",1.5780034526517
20,"WKU",1.56579158328081
21,"Minnesota",1.50812257833695
22,"Miami_FL",1.50400348669964
23,"Mississippi",1.48122013951085
24,"Florida_St",1.46920781349491
25,"Stanford",1.42228649937739
26,"Florida",1.40028995924039
27,"Utah",1.39201524544227
28,"Pittsburgh",1.38285120426293
29,"Nebraska",1.2431552888354
30,"Temple",1.23875573884833
31,"Houston",1.23254524841345
32,"BYU",1.21829363057685
33,"Indiana",1.13702600823988
34,"Boise_St",1.13418296634415
35,"Arkansas",1.12269904071612
36,"Michigan_St",1.11721885565049
37,"Tennessee",1.11642964995133
38,"Oklahoma_St",1.11252851979073
39,"West_Virginia",1.11024571983279
40,"Mississippi_St",1.08636994013992
41,"Vanderbilt",1.07622729622948
42,"Notre_Dame",1.07420600448735
43,"North_Carolina",1.05805663065077
44,"Georgia",1.04170853881537
45,"Georgia_Tech",1.03954856417701
46,"San_Diego_St",1.01750480191726
47,"UCLA",1.00932739131493
48,"Kansas_St",0.983952519779749
49,"Navy",0.939187165364731
50,"Kentucky",0.930168148631951
51,"Louisiana_Tech",0.925198157099271
52,"South_Florida",0.914918224319781
53,"Memphis",0.889517346931405
54,"Tulsa",0.873631527356447
55,"NC_State",0.865105195713339
56,"TCU",0.859093564844345
57,"Appalachian_St",0.850362148060292
58,"Toledo",0.835951385564171
59,"Texas",0.82313484385007
60,"Troy",0.818812933607835
61,"Baylor",0.79247014017318
62,"Oregon_St",0.790312669015539
63,"Wyoming",0.746159494530046
64,"Colorado_St",0.743320265594699
65,"Wake_Forest",0.740704715544957
66,"California",0.736267578170093
67,"Duke",0.720922709200618
68,"Oregon",0.708077350300725
69,"Air_Force",0.707759051308659
70,"Texas_Tech",0.687982396022537
71,"Arizona_St",0.668223088189587
72,"Arkansas_St",0.645868097042885
73,"UCF",0.645120833243549
74,"South_Carolina",0.640758864458189
75,"Ohio",0.632068980975004
76,"Arizona",0.619467236331509
77,"Missouri",0.609328021378066
78,"Maryland",0.567995376004141
79,"Iowa_St",0.564514203603732
80,"Virginia",0.534688386641787
81,"UT_San_Antonio",0.520243096993272
82,"Army",0.509962340502517
83,"New_Mexico",0.503233302410378
84,"Ga_Southern",0.500773177502924
85,"N_Illinois",0.482436272377739
86,"Southern_Miss",0.480213257798904
87,"MTSU",0.474564256062711
88,"Old_Dominion",0.459500327451767
89,"Miami_OH",0.449112016063998
90,"South_Alabama",0.445593347495287
91,"Illinois",0.430431651431329
92,"Purdue",0.427593431098042
93,"E_Michigan",0.426875419397269
94,"Syracuse",0.417212788281716
95,"Georgia_St",0.403049214246784
96,"Idaho",0.396021564068871
97,"ULL",0.391053898731403
98,"SMU",0.390440321506277
99,"Tulane",0.382978161362759
100,"Utah_St",0.379635635735826
101,"C_Michigan",0.374136901380895
102,"Cincinnati",0.373026403898487
103,"Boston_College",0.340182268676641
104,"Rutgers",0.329903976366896
105,"Ball_St",0.324802424274833
106,"Hawaii",0.3235943663534
107,"Kent",0.310398066925745
108,"East_Carolina",0.303055458212657
109,"Connecticut",0.291758910277934
110,"Nevada",0.289891389826339
111,"UNLV",0.287581456525372
112,"North_Texas",0.285397430868327
113,"Massachusetts",0.261370564363163
114,"San_Jose_St",0.256313086810377
115,"Akron",0.255049730462514
116,"Kansas",0.246316842994357
117,"Bowling_Green",0.244534819150162
118,"Florida_Intl",0.240476091373538
119,"Marshall",0.230453609115709
120,"New_Mexico_St",0.216592264566447
121,"Fresno_St",0.212613113663004
122,"Rice",0.193698586787718
123,"UTEP",0.186949622540231
124,"Charlotte",0.186140840035958
125,"Buffalo",0.164216775304523
126,"FL_Atlantic",0.157683909239129
127,"ULM",0.155439291612847
128,"Texas_St",0.10165692318252
