Ranking,Rating,Team
1,6.164007498,Clemson
2,6.106309229,Oklahoma
3,5.789264393,Ohio_St
4,5.663223987,Alabama
5,5.619076507,Auburn
6,5.406942366,Penn_St
7,5.116337583,Wisconsin
8,4.885839952,Notre_Dame
9,4.846448553,TCU
10,4.759602997,Miami_FL
11,4.663490673,Georgia
12,4.371737694,Oklahoma_St
13,4.120324698,UCF
14,3.872122334,Iowa_St
15,3.599002734,Virginia_Tech
16,3.509301286,Washington
17,3.452676454,Iowa
18,3.339335727,Texas
19,3.100302636,Wake_Forest
20,2.866563976,NC_State
21,2.79395007,West_Virginia
22,2.76388951,Northwestern
23,2.748478117,USC
24,2.704870763,Georgia_Tech
25,2.704292982,Louisville
26,2.632686701,Kansas_St
27,2.519543516,Michigan
28,2.478517281,Mississippi_St
29,2.439424884,Stanford
30,2.426686876,Purdue
31,2.311797205,LSU
32,2.222690308,Michigan_St
33,2.212355786,Duke
34,2.209268306,Boston_College
35,2.208866581,Florida_St
36,2.099419061,Washington_St
37,2.074597931,Texas_Tech
38,1.931465403,Syracuse
39,1.884518926,Memphis
40,1.86657762,Texas_A&M
41,1.78915355,N_Dakota_St
42,1.772939159,Arizona
43,1.750190772,South_Carolina
44,1.731710466,Navy
45,1.711148581,Utah
46,1.697227533,Boise_St
47,1.616664119,FL_Atlantic
48,1.60871191,Pittsburgh
49,1.59219646,Virginia
50,1.58178722,Arizona_St
51,1.578362271,SMU
52,1.549157196,Indiana
53,1.543060725,Oregon
54,1.542738104,South_Florida
55,1.514773985,California
56,1.439495125,Minnesota
57,1.413231958,San_Diego_St
58,1.411535976,Toledo
59,1.395985583,North_Carolina
60,1.371620519,UCLA
61,1.36892568,S_Dakota_St
62,1.36124717,James_Madison
63,1.330793457,Missouri
64,1.320919961,Nebraska
65,1.311141791,Houston
66,1.296272489,Baylor
67,1.261582638,Ohio
68,1.254954819,Maryland
69,1.245876614,N_Illinois
70,1.159694105,Army
71,1.157160695,Colorado_St
72,1.150088163,Colorado
73,1.071174107,Mississippi
74,1.063049398,W_Illinois
75,1.057114547,Northern_Iowa
76,1.034731834,Fresno_St
77,1.029276475,Kentucky
78,1.004920093,Appalachian_St
79,0.993805106,Youngstown_St
80,0.991979422,Florida
81,0.980535505,Marshall
